ISIN;null
Начальная дата;21.10.2023
Конечная дата;06.11.2023

ISIN;Полное наименование ЦБ;Объем эмиссии (млн);Дата;Номинал;Валюта номинала;Непогашенный номинал;Ставка купона,  % годовых;Размер выплаты;Размер выплаты, руб.*
XS2159874002;LUKOIL Securities B.V.06/05/30;1500;06.11.2023;1000;USD;1000;3,875;19,375;1806,09
XS2113968148;SovCom Capital perpetual;300;06.11.2023;1000;USD;1000;7,75;19,375;1806,09
RU000A106UK8;МигКредит БО-03;200;06.11.2023;1000;RUB;1000;16,75;13,77;13,77
RU000A106UB7;ОйлРесурсГрупп БО-03;300;06.11.2023;1000;RUB;1000;16,5;13,56;13,56
RU000A106UA9;СМАК БО-П02;60;06.11.2023;1000;RUB;1000;16;13,15;13,15
RU000A105TS5;ЕвроТранс БО-001Р-02;3000;06.11.2023;1000;RUB;1000;13,4;11,01;11,01
RU000A105TR7;АРЕНЗА-ПРО 001P-01;300;06.11.2023;1000;RUB;1000;14,5;11,92;11,92
RU000A1059Q2;ПАО "ЛУКОЙЛ" ЗО-30;287,279;06.11.2023;1000;USD;1000;3,875;19,38;1806,55
RU000A105658;МСБ-Лизинг 002P-06;200;06.11.2023;1000;RUB;611,08;14,5;7,28;7,28
RU000A103406;МФК Мани Мен 02;500;06.11.2023;1000;RUB;1000;12,5;10,27;10,27
RU000A102QQ2;Совкомбанк Лизинг БО-П04;2000;06.11.2023;1000;RUB;400;6,2;6,18;6,18
RU000A1029F8;Лизинг-Трейд 001P-02;500;06.11.2023;1000;RUB;1000;10,8;8,88;8,88
RU000A102689;СберИОС 001Р-335R 3Г Top Five;130,496;06.11.2023;1000;RUB;1000;0,01;0,3;0,3
RU000A1010M4;РЖД ОАО БО 001Р-17R;15000;06.11.2023;1000;RUB;1000;6,75;33,66;33,66
RU000A1010D3;Республика Саха (Якутия) об.13;5000;06.11.2023;1000;RUB;700;6,95;12,13;12,13
RU000A100PP0;Белгородская область 34012 обл;2000;06.11.2023;1000;RUB;250;7,8;4,86;4,86
RU000A0JVY04;РЖД ОАО 36 обл.;15200;06.11.2023;1000;RUB;1000;12,94;64,52;64,52
RU000A0JUA45;"Яковлев" ПАО БО-04;5000;06.11.2023;1000;RUB;1000;9;44,88;44,88
RU000A0JR4U9;Главная дорога АО об.сер. 03;8000;06.11.2023;1000;RUB;750;16,99;127,08;127,08
RU000A106ZL5;РЖД БО 001P-28R;45000;05.11.2023;1000;RUB;1000;13,37;11,36;11,36
RU000A106CJ8;МФК Лайм-Займ 03;800;05.11.2023;1000;RUB;1000;16,5;13,56;13,56
RU000A105EP3;Группа Продовольствие 001P-02;170;05.11.2023;1000;RUB;1000;15;12,33;12,33
